Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms,label
241.811,13,13,6138,472.154,93,1292,537.596,12,241.811,20.151,0.035,109.438,29.802,0
0.0,1,1,77,77.0,77,77,0.0,0,0.0,0.0,0.0,0.0,0.0,1
29.378,2,2,148,74.0,74,74,0.0,1,29.378,29.378,29.378,29.378,0.0,1
926.382,12,12,6872,572.667,86,1294,575.629,11,926.382,84.217,0.0,307.741,133.475,0
80477.975,27,27,2167,80.259,60,294,58.714,26,80477.975,3095.307,0.026,61350.536,12191.285,1
159.294,17,17,14616,859.765,90,1292,553.052,16,159.294,9.956,0.0,69.289,18.958,0
0.0,1,1,186,186.0,186,186,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,158,158.0,158,158,0.0,0,0.0,0.0,0.0,0.0,0.0,0
100.007,5,5,878,175.6,54,645,234.741,4,100.007,25.002,0.009,98.024,42.167,1
9007.471,3,3,198,66.0,66,66,0.0,2,9007.471,4503.735,3007.482,5999.989,1496.254,1
330.384,4,4,970,242.5,54,796,319.601,3,330.384,110.128,30.31,156.053,56.653,1
12313.751,4,4,782,195.5,54,608,238.207,3,12313.751,4104.584,9.433,7287.23,3040.404,1
0.0,1,1,95,95.0,95,95,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,74,74.0,74,74,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,125,125.0,125,125,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,86,86.0,86,86,0.0,0,0.0,0.0,0.0,0.0,0.0,0
2181.552,5,5,785,157.0,54,557,200.054,4,2181.552,545.388,0.008,1915.923,794.052,1
0.0,1,1,74,74.0,74,74,0.0,0,0.0,0.0,0.0,0.0,0.0,0
201.269,2,2,276,138.0,138,138,0.0,1,201.269,201.269,201.269,201.269,0.0,1
621.168,8,8,2603,325.375,86,1354,430.073,7,621.168,88.738,0.012,313.079,139.711,0
15880.618,2,2,194,97.0,97,97,0.0,1,15880.618,15880.618,15880.618,15880.618,0.0,0
0.0,1,1,76,76.0,76,76,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,79,79.0,79,79,0.0,0,0.0,0.0,0.0,0.0,0.0,1
3030.019,3,3,198,66.0,66,66,0.0,2,3030.019,1515.009,1015.526,2014.493,499.483,1
96.818,5,5,452,90.4,60,206,57.847,4,96.818,24.204,0.073,94.645,40.675,1
9029.185,3,3,198,66.0,66,66,0.0,2,9029.185,4514.592,3013.713,6015.472,1500.88,1
